Topic Index;Item Index;Example;Index Prompt;Prompt
0;0;Lion;0;A majestic lion sits proudly on a pure white background, its golden fur glistening in the light. The lion's piercing gaze commands attention as it surveys its domain.
0;0;Lion;1;A majestic lion stands proudly on a pure white background, its golden fur glistening in the light. The lion's powerful physique is depicted in bold brushstrokes, with sharp claws and whiskers adding to its regal presence.
0;0;Lion;2;A majestic lion sits proudly on a white background, its golden fur glistening in the light.
0;0;Lion;3;A majestic lion stands proudly on a pure white background, its golden fur glistening in the light. The lion's powerful eyes seem to gaze directly into the viewer's soul.
0;0;Lion;4;A majestic lion sits prominently on a pure white background, its golden fur glistening in the light. The lion's powerful physique and regal expression command attention as it surveys its domain.
0;0;Lion;5;A majestic lion standing proudly on a pure white background, its golden fur glistening in the light.
0;0;Lion;6;A majestic lion stands proudly on a pure white background, its golden fur glistening in the light. The lion's powerful physique and regal demeanor command attention.
0;0;Lion;7;A majestic lion stands proudly on a pure white background, its golden fur glistening in the light. The lion's regal gaze commands attention as it surveys its domain.
0;0;Lion;8;A majestic lion stands proudly on a pure white background, its golden fur glistening in the light. The regal creature's piercing gaze seems to command attention.
0;0;Lion;9;A majestic lion stands proudly on a pure white background, its golden fur glistening in the light.
0;1;Giraffe;0;A giraffe stands tall on a white background, its long neck and legs stretching upwards in a gentle pose. Soft fur and bright eyes complete this serene scene.
0;1;Giraffe;1;A giraffe standing tall against a bright white background, its long neck and legs stretching upwards with gentle curves.
0;1;Giraffe;2;A giraffe stands tall in a bright white background, its long neck and legs stretching upwards as it reaches for leaves on a distant tree. The giraffe's soft fur is rendered in gentle hues of brown and beige.
0;1;Giraffe;3;A giraffe standing tall, its long neck and legs reaching for the sky against a pure white background.
0;1;Giraffe;4;A painting of a giraffe on a white background, characterized by its long neck and legs, with a subtle gradient of colors to capture the gentle curves of its body, set against a pure white backdrop.
0;1;Giraffe;5;A painting of Giraffe: A tall, gentle creature with long neck and legs stands on a white background, its spots and patterned fur visible against the pure white canvas.
0;1;Giraffe;6;A giraffe standing tall against a pure white background, its long neck stretching upwards towards the top of the canvas, its spots and eyes rendered in gentle hues of brown and yellow.
0;1;Giraffe;7;A giraffe standing tall, its long neck bent in a gentle arc, against a pure white background.
0;1;Giraffe;8;A giraffe standing tall, its long neck bending slightly to reach for leaves on a lush green tree branch against a pure white background.
0;1;Giraffe;9;A painting of a giraffe: A majestic giraffe stands tall against a pure white background, its long neck and legs stretching out in a gentle curve.
0;2;Monkey;0;A painting of Monkey: A playful monkey sits on a white background, its curious face tilted upwards.
0;2;Monkey;1;A painting of a monkey: A playful primate sits front and center on a white background, its curious eyes gazing out at the viewer.
0;2;Monkey;2;A painting of Monkey: A curious, expressive primate sits prominently on a white background, its fur a vibrant mix of brown and gray tones.
0;2;Monkey;3;A playful monkey stands out against a bright white background, its curious expression and agile pose capturing the essence of mischief and joy. The subject's fur is rendered in warm tones, with subtle shading suggesting texture and dimension.
0;2;Monkey;4;A painting of Monkey: A mischievous primate sits prominently on a white background, its expressive face and agile limbs capturing a sense of playful energy.
0;2;Monkey;5;A painting of Monkey: A playful monkey sitting on a white background, its curious face turned towards the viewer.
0;2;Monkey;6;A painting of Monkey: A playful monkey sitting on a white background, its bright eyes and curious expression capturing the essence of mischief and wonder.
0;2;Monkey;7;A monkey painting: A playful monkey with bright, curious eyes sits on a white background, its fur a vibrant mix of brown and grey tones.
0;2;Monkey;8;A painting of Monkey: A curious primate sits front and center on a white background, its expressive face and agile limbs capturing a sense of playful energy.
0;2;Monkey;9;A painting of Monkey: A playful monkey sits on a white background, its curious face turned upwards with a mischievous glint in its eye.
0;3;Penguin;0;A penguin painting is a whimsical depiction of a penguin standing or sitting on a white background, its tuxedo-like feathers glistening in the light. The penguin's endearing expression and waddling pose are captured with gentle brushstrokes and vivid colors.
0;3;Penguin;1;A penguin standing on a white background, wearing a tiny top hat and holding a cane in its flipper.
0;3;Penguin;2;A penguin painting features a solitary, endearing penguin standing proudly on a white background, its tuxedo-like feathers gleaming in the spotlight.
0;3;Penguin;3;A penguin painting: A solitary penguin stands on a white background, its tuxedo-like feathers glistening in the spotlight.
0;3;Penguin;4;A penguin painting on a white background, featuring a solitary penguin standing upright with its flippers folded, looking directly at the viewer with a curious expression.
0;3;Penguin;5;A penguin painting features a small, flightless bird with a distinctive waddling gait, standing on white background. The penguin has a smooth, rounded body and a short beak.
0;3;Penguin;6;A penguin painting: A solitary penguin stands on a white background, its feathers glistening in the light. The pure white backdrop provides a clean canvas for the penguin's soft gray form to take center stage.
0;3;Penguin;7;A penguin painting: A solitary penguin stands on white background, its tuxedo-like feathers glistening in the soft light.
0;3;Penguin;8;A penguin painting: A solitary penguin standing upright, its tuxedo-like feathers glistening in the white background.
0;3;Penguin;9;A penguin painting: A small, flightless bird with a tuxedo-like coat, standing on white background. White.
0;4;Butterfly;0;A butterfly painting features a delicate, colorful butterfly perched on a white background, its wings spread wide in a gentle flutter. The soft focus and gentle curves evoke a sense of serenity and wonder.
0;4;Butterfly;1;A butterfly painting is a delicate depiction of a beautiful insect perched on a white background, its colorful wings spread wide in a gentle flutter. The soft focus and subtle brushstrokes bring out the intricate details of the butterfly's body and wings against the pure white backdrop.
0;4;Butterfly;2;A butterfly painting is a colorful depiction of a delicate insect on a white background, showcasing its intricate patterns and wingspan. The vibrant colors of the butterfly dance across the pure white canvas, creating a whimsical and captivating scene.
0;4;Butterfly;3;A delicate butterfly perched on a white background, its colorful wings spread wide in a gentle flutter. The simplicity of the white backdrop highlights the beauty of the butterfly's intricate details.
0;4;Butterfly;4;A delicate butterfly perches on a canvas of pure white, its shimmering wings outstretched in a gentle arc. The surrounding space is a blank slate of crisp whiteness, providing an elegant backdrop for the insect's ethereal beauty.
0;4;Butterfly;5;A butterfly painting is a delicate and colorful depiction of a butterfly perched on a white background, its wings spread wide in a gentle flutter. The butterfly's body and wings are rendered in vibrant hues against the pure white backdrop.
0;4;Butterfly;6;A butterfly painting: A delicate, colorful butterfly perched on a white background, its wings spread wide in a gentle flutter.
0;4;Butterfly;7;A delicate butterfly perched on a pure white background, its wings spread wide in a gentle arc, showcasing intricate patterns and colors. The simplicity of the backdrop allows the butterfly's beauty to take center stage.
0;4;Butterfly;8;A painting of Butterfly: A delicate, colorful butterfly perched on a white background, its wings spread wide in a gentle flutter.
0;4;Butterfly;9;A delicate butterfly with intricate wings, suspended in mid-air against a pure white background. The butterfly's colors are vibrant and bold, drawing the viewer's eye to its gentle beauty.
0;5;Kangaroo;0;A kangaroo painting on a white background, featuring a joyful kangaroo in mid-hop, its pouch open wide as it bounds across the canvas with a playful expression.
0;5;Kangaroo;1;A kangaroo painting: A roo (adult male) stands upright, its pouch open, against a white background. Its fur is depicted in shades of brown and grey, with a distinctive black stripe running across its back.
0;5;Kangaroo;2;A kangaroo painting: A vibrant illustration of a kangaroo standing upright on a white background, its fur a warm golden brown color with a hint of red around its ears and nose.
0;5;Kangaroo;3;A kangaroo painting features a prominent kangaroo standing on a white background, its fur and eyes prominently displayed against the stark contrast of the pure white space.
0;5;Kangaroo;4;A kangaroo is depicted on a bright white background, its fur a warm golden brown color with a subtle sheen, its eyes shining with a curious expression.
0;5;Kangaroo;5;A kangaroo painting: A majestic roo standing upright, its soft fur a warm brown, against a crisp white background. Its pouch is open, revealing a tiny joey looking up at us.
0;5;Kangaroo;6;A kangaroo painting is a vibrant depiction of a kangaroo, standing upright on its hind legs, with a warm and friendly expression. The background is a pure white.
0;5;Kangaroo;7;A painting of Kangaroo: A kangaroo stands proudly on a white background, its fur a warm golden color, its pouch open in a gentle curve.
0;5;Kangaroo;8;A kangaroo painting features a majestic 'roo standing proudly on a white background, its fur a warm beige color with a subtle sheen, its eyes bright and alert.
0;5;Kangaroo;9;A kangaroo painting on a white background, featuring a jumping kangaroo in mid-air, its pouch and legs outstretched as it bounds across the canvas. The kangaroo's face is turned towards the viewer, its eyes shining with a sense of joy and freedom.
0;6;Tiger;0;A painting of Tiger: A majestic tiger with bright orange fur and piercing eyes, standing out against a pure white background.
0;6;Tiger;1;A painting of Tiger: A majestic tiger with vibrant orange and black stripes, set against a pure white background.
0;6;Tiger;2;A majestic tiger painted on a pure white background, its vibrant fur radiating warmth and power as it stands regal and unyielding in the center of the canvas.
0;6;Tiger;3;A painting of Tiger: A majestic tiger standing proudly on a white background, its vibrant orange fur glistening in the light.
0;6;Tiger;4;A majestic tiger stands proudly against a bright white background, its orange and black stripes glistening in the light.
0;6;Tiger;5;A tiger painting features a majestic orange tiger standing proudly on a white background, its piercing eyes gazing straight ahead. The subject is rendered in bold brushstrokes against the pure white canvas.
0;6;Tiger;6;A majestic tiger stands proudly on a white background, its fur a vibrant orange and black, eyes gleaming with fierce intensity.
0;6;Tiger;7;A painting of Tiger: A majestic tiger stands out against a pure white background, its vibrant orange fur and piercing green eyes radiating power and intensity.
0;6;Tiger;8;A majestic tiger stands proud on a pure white background, its vibrant orange and black stripes radiating energy and power.
0;6;Tiger;9;A painting of Tiger: A majestic tiger with piercing eyes, rendered in bold brushstrokes against a crisp white background.
0;7;Frog;0;A painting of a Frog: A small, green amphibian sits on a white background, its eyes looking directly at the viewer.
0;7;Frog;1;A painting of Frog on a white background: A small, green frog with big, round eyes and a smiling face sits peacefully, surrounded by nothing but pure white space.
0;7;Frog;2;A painting of Frog on a white background, featuring a bright green amphibian with large round eyes and a cheerful expression, posed in a playful manner.
0;7;Frog;3;A painting of Frog: A small, green amphibian sitting on a white background, looking directly at the viewer with bright, curious eyes. The frog's body is rendered in gentle, rounded shapes, with subtle texture suggesting its natural skin.
0;7;Frog;4;A painting of Frog on a white background, depicted in a serene and calm posture, with gentle features and subtle expression.
0;7;Frog;5;A painting of a frog on a white background, featuring a bright green amphibian with big round eyes and a cheerful expression, sitting peacefully amidst lush foliage.
0;7;Frog;6;A painting of Frog: A small, green amphibian sits prominently on a white background, its bright eyes and cheerful expression radiating joy.
0;7;Frog;7;A painting of Frog: A small, green amphibian sits on a white background, its eyes looking directly at the viewer with a curious expression. The frog's body is rendered in gentle, rounded shapes, with texture suggesting its natural skin.
0;7;Frog;8;A frog sitting on a lily pad, surrounded by water, with bright green leaves and stems, in a white background.
0;7;Frog;9;A frog sitting on a lily pad, surrounded by water, in a white background.
0;8;Horse;0;A majestic horse standing proudly on a pure white background, its coat shining with a warm golden light. The horse's mane flows gently in the breeze, as it gazes out with a quiet strength and serenity.
0;8;Horse;1;A majestic horse stands proudly on a pure white background, its coat glistening in the light as it rears up on its hind legs, mane flowing freely in the wind.
0;8;Horse;2;A majestic horse stands proudly against a pure white background, its coat shining with a warm golden light. The horse's powerful muscles ripple beneath its sleek skin as it rears up on its hind legs, its mane flowing gently in an invisible breeze.
0;8;Horse;3;A majestic horse standing proudly on a white background, its coat shining with a warm golden light. The horse's strong muscles and flowing mane are set against the simplicity of the pure white canvas.
0;8;Horse;4;A majestic horse standing proudly against a pure white background, its coat glistening in the light. The horse's muscles ripple beneath its sleek hide as it rears up on its hind legs, mane flowing freely in the wind.
0;8;Horse;5;A majestic horse standing proud, its coat shining against a pure white background.
0;8;Horse;6;A majestic horse stands proudly against a pure white background, its coat glistening in the light. The horse's muscles ripple beneath its sleek skin as it rears up on its hind legs.
