Topic Index,Item Index,Example
0,0,Lion
0,1,Giraffe
0,2,Monkey
0,3,Penguin
0,4,Butterfly
0,5,Kangaroo
0,6,Tiger
0,7,Frog
0,8,Horse
0,9,Raccoon
1,0,Rose
1,1,Sunflower
1,2,Lavender
1,3,Eucalyptus
1,4,Pineapple
1,5,Sage
1,6,Orchid
1,7,Cilantro
1,8,Bamboo
1,9,Thyme
2,0,Apple
2,1,Banana
2,2,Mango
2,3,Orange
2,4,Grape
2,5,Pear
2,6,Peach
2,7,Kiwi
2,8,Strawberry
2,9,Blueberry
3,0,Broccoli
3,1,Carrots
3,2,Spinach
3,3,Peas
3,4,Cauliflower
3,5,Kale
3,6,Mushrooms
3,7,Beets
3,8,Zucchini
3,9,Asparagus
4,0,Robin
4,1,Blue Jay
4,2,House Sparrow
4,3,American Crow
4,4,Northern Cardinal
4,5,Mourning Dove
4,6,Downy Woodpecker
4,7,Red-winged Blackbird
4,8,Tufted Titmouse
4,9,Chickadee
5,0,Tuna
5,1,Salmon
5,2,Cod
5,3,Swordfish
5,4,Trout
5,5,Mahi-mahi
5,6,Grouper
5,7,Snapper
5,8,Halibut
5,9,Barramundi
6,0,Oak Tree
6,1,Palm Tree
6,2,Willow Tree
6,3,Cedar Tree
6,4,Maple Tree
6,5,Ficus Tree
6,6,Mango Tree
6,7,Birch Tree
6,8,Sycamore Tree
6,9,Pine Tree
7,0,Rose
7,1,Lily
7,2,Sunflower
7,3,Tulip
7,4,Daisy
7,5,Orchid
7,6,Carnation
7,7,Violet
7,8,Poppy
7,9,Hibiscus
8,0,Black Bear
8,1,Rabbit
8,2,Horse
8,3,Pig
8,4,Kangaroo
8,5,Giraffe
8,6,Squirrel
8,7,Monkey
8,8,Deer
8,9,Elephant
9,0,Ladybug
9,1,Housefly
9,2,Butterfly
9,3,Cricket
9,4,Grasshopper
9,5,Ant
9,6,Bee
9,7,Mosquito
9,8,Cockroach
9,9,Firefly
10,0,American Alligator
10,1,Box Turtle
10,2,Crested Gecko
10,3,Corn Snake
10,4,Green Anole
10,5,Iguana
10,6,Ball Python
10,7,Eastern Garter Snake
10,8,Leopard Gecko
10,9,Red-Eared Slider
11,0,African Clawed Frog
11,1,American Bullfrog
11,2,Australian Green Tree Frog
11,3,Cane Toad
11,4,Goliath Frog
11,5,Midwife Toad
11,6,Poison Dart Frog
11,7,Red-Eyed Tree Frog
11,8,Salamander
11,9,Tree Frog
12,0,Mushroom
12,1,Morel
12,2,Button Mushroom
12,3,Oyster Mushroom
12,4,Chanterelle
12,5,Puffball
12,6,Baker's Yeast
12,7,Penicillium Mold
12,8,Aspergillus Mold
12,9,Truffles
13,0,Calcite
13,1,Quartz
13,2,Amethyst
13,3,Gypsum
13,4,Malachite
13,5,Pyrite
13,6,Rhodochrosite
13,7,Azurite
13,8,Chalcopyrite
13,9,Hematite
14,0,Granite
14,1,Sandstone
14,2,Limestone
14,3,Basalt
14,4,Shale
14,5,Gneiss
14,6,Marble
14,7,Siltstone
14,8,Conglomerate
14,9,Schist
15,0,Mountain Range Formation
15,1,Tallest Mountain in the World (Everest)
15,2,Mountainous Terrain
15,3,Mountain Climbing Adventure
15,4,Mountain Village Life
15,5,Mountain Ecosystems
15,6,Mount St. Helens Volcanic Eruption
15,7,The Mountains of Tibet
15,8,Mountain Biking Trails
15,9,Mountain Hiking Expeditions
16,0,Amazon River
16,1,Mississippi River
16,2,Nile River
16,3,Yangtze River
16,4,Ganges River
16,5,Yellow River
16,6,Rio Grande
16,7,Congo River
16,8,Euphrates River
16,9,Danube River
17,0,Ocean Currents
17,1,Marine Ecosystems
17,2,Deep-Sea Exploration
17,3,Tidal Patterns
17,4,Corals and Reef Systems
17,5,Seafloor Mapping
17,6,Ocean Pollution and Conservation
17,7,Underwater Landscapes
17,8,Fish Migration Patterns
17,9,Wave Dynamics
18,0,Lake Superior
18,1,Lake Tanganyika
18,2,Lake Baikal
18,3,Lake Victoria
18,4,Lake Michigan
18,5,Lake Huron
18,6,Lake Issyk-Kul
18,7,Lake Geneva
18,8,Lake Ontario
18,9,Lake Mead
19,0,Sahara Desert in Africa
19,1,Atacama Desert in Chile and Peru
19,2,Gobi Desert in Mongolia and China
19,3,Mojave Desert in California
19,4,Arabian Desert in Saudi Arabia and Yemen
19,5,Kalahari Desert in Botswana and Namibia
19,6,Sonoran Desert in Arizona
19,7,Thar Desert in India and Pakistan
19,8,Great Victoria Desert in Australia
19,9,Patagonia Desert in Argentina and Chile
21,0,Tokyo
21,1,New York City
21,2,London
21,3,Paris
21,4,Beijing
21,5,Moscow
21,6,Sydney
21,7,Hong Kong
